conversation,facet,answer_text,confidence
It was nice to see my daughter and her friends! I felt a bit more connected.,Social Connectedness,It was nice to see my daughter and her friends! I felt a bit more connected.,0.76
"Yes, I spoke with them last week. They told me to get more rest and take my meds regularly.",Health Agency,"Yes, I spoke with them last week. They told me to get more rest and take my meds regularly.",0.8
It really is! I also want to make an effort to reach out to my family more.,Social Connectedness,It really is! I also want to make an effort to reach out to my family more.,0.77
I had a lovely chat with my granddaughter yesterday! She’s such a joy.,Social Connectedness,I had a lovely chat with my granddaughter yesterday! She’s such a joy.,0.67
Good morning! I reached out to my daughter yesterday.,Social Connectedness,Good morning! I reached out to my daughter yesterday.,0.72
"When I can, I love going for a quick jog or doing a short yoga session. It really helps clear my mind. How about you? How do you 'unwind'?",Self-Efficacy,"When I can, I love going for a quick jog or doing a short yoga session. It really helps clear my mind. How about you? How do you 'unwind'?",0.86
"Nothing major planned, just trying to keep the balance with work and family. Maybe a family hike this weekend.",Social Connectedness,"Nothing major planned, just trying to keep the balance with work and family. Maybe a family hike this weekend.",0.84
"Definitely! I can’t wait for my next class. Also, my daughter is visiting this weekend.",Self-Efficacy,"Definitely! I can’t wait for my next class. Also, my daughter is visiting this weekend.",0.81
We’re thinking of going for a hike and maybe cooking dinner together. Family time is the best!,Social Connectedness,We’re thinking of going for a hike and maybe cooking dinner together. Family time is the best!,0.77
"Challenging but invigorating! Plus, the views were gorgeous. I love when fall colors start.",Physical Safety,"Challenging but invigorating! Plus, the views were gorgeous. I love when fall colors start.",0.71
Hey StoryBot! Just wanted to check in today. I've been feeling really motivated to improve my fitness this month. How about you?,Growth Mindset,Hey StoryBot! Just wanted to check in today. I've been feeling really motivated to improve my fitness this month. How about you?,0.71
I want to get back to running regularly and maybe even try some yoga to balance things out. I used to do it but fell off the wagon a bit.,Autonomy,I want to get back to running regularly and maybe even try some yoga to balance things out. I used to do it but fell off the wagon a bit.,0.81
Hey StoryBot! Just wanted to give you an update: I managed to run for 20 minutes this morning! It felt amazing! 🏃‍♂️,Self-Efficacy,Hey StoryBot! Just wanted to give you an update: I managed to run for 20 minutes this morning! It felt amazing! 🏃‍♂️,0.74
I feel more flexible already! I can’t wait to see how my running improves too. I’m feeling hopeful.,Self-Efficacy,I feel more flexible already! I can’t wait to see how my running improves too. I’m feeling hopeful.,0.88
"I enjoy swimming and cycling, but I can’t do much right now. It's frustrating because I love being active! But I need to take it easy.",Self-Efficacy,"I enjoy swimming and cycling, but I can’t do much right now. It's frustrating because I love being active! But I need to take it easy.",0.69
"Yeah, my friends are really supportive. I just hate to bother them with my issues.",Social Connectedness,"Yeah, my friends are really supportive. I just hate to bother them with my issues.",0.77
"Well, I just got back from a hike in the mountains. The views were stunning! 🌄 My partner is reading this too and said I should ask you if it's safe to go hiking alone.",Physical Safety,"Well, I just got back from a hike in the mountains. The views were stunning! 🌄 My partner is reading this too and said I should ask you if it's safe to go hiking alone.",0.85
"Maybe some veggie-packed recipes? We’re trying to eat healthier. Plus, it’ll be fun to learn new skills together! 😍",Growth Mindset,"Maybe some veggie-packed recipes? We’re trying to eat healthier. Plus, it’ll be fun to learn new skills together! 😍",0.87
Just juggling work and family responsibilities is so tiring. I’m finding it hard to keep up.,Social Connectedness,Just juggling work and family responsibilities is so tiring. I’m finding it hard to keep up.,0.87
It's been weeks. I can feel my mood affecting my relationship with my kids too.,Self-Efficacy,It's been weeks. I can feel my mood affecting my relationship with my kids too.,0.69
It felt really good. I think it brought us closer. I’ve realized I can lean on them more.,Self-Efficacy,It felt really good. I think it brought us closer. I’ve realized I can lean on them more.,0.83
I think I want to keep this momentum going. Maybe pursue a hobby! I used to love painting.,Autonomy,I think I want to keep this momentum going. Maybe pursue a hobby! I used to love painting.,0.73
I’m aiming to run a 10k next month! Wish me luck! How’s your day going?,Purpose,I’m aiming to run a 10k next month! Wish me luck! How’s your day going?,0.74
"Haha, I can imagine! So, any tips for keeping motivated during the cold months ahead?",Self-Efficacy,"Haha, I can imagine! So, any tips for keeping motivated during the cold months ahead?",0.68
"Maybe some beautiful fall colors? I've been feeling a bit unmotivated lately, but today is different. Just trying to embrace nature!",Physical Safety,"Maybe some beautiful fall colors? I've been feeling a bit unmotivated lately, but today is different. Just trying to embrace nature!",0.82
"To be honest, I'm a bit nervous. What if I can't make it? Oh, and I also have some work stuff coming up that might conflict.",Self-Efficacy,"To be honest, I'm a bit nervous. What if I can't make it? Oh, and I also have some work stuff coming up that might conflict.",0.75
I think I want to start eating healthier and maybe get back into running. I used to love it!,Autonomy,I think I want to start eating healthier and maybe get back into running. I used to love it!,0.67
It went surprisingly well! I felt good afterward. I think I can expand on this.,Self-Efficacy,It went surprisingly well! I felt good afterward. I think I can expand on this.,0.8
I can definitely do that! You know what? I think I *can* do this! I’m feeling inspired!,Self-Efficacy,I can definitely do that! You know what? I think I *can* do this! I’m feeling inspired!,0.79
I think I’ll aim to run a 5K by the end of October. Sounds like a fun challenge!,Purpose,I think I’ll aim to run a 5K by the end of October. Sounds like a fun challenge!,0.78
"I managed to jog for 15 minutes nonstop! It felt amazing, and I was so proud of myself!",Self-Efficacy,"I managed to jog for 15 minutes nonstop! It felt amazing, and I was so proud of myself!",0.65
Yes! The instructor was very encouraging. I can’t wait for the next class! 🌟,Self-Efficacy,Yes! The instructor was very encouraging. I can’t wait for the next class! 🌟,0.73
"I have some grocery shopping, laundry, and I want to start a new book. What do you think?",Autonomy,"I have some grocery shopping, laundry, and I want to start a new book. What do you think?",0.67
I might try to read a chapter or two from my book today if I can squeeze it in.,Self-Efficacy,I might try to read a chapter or two from my book today if I can squeeze it in.,0.77
Absolutely! I can't wait to see where the story goes. Thanks for encouraging me to pick it up!,Self-Efficacy,Absolutely! I can't wait to see where the story goes. Thanks for encouraging me to pick it up!,0.79
Definitely! I’m aiming for a 5K run next month. I want to improve my time from last year. It’s a fun challenge!,Autonomy,Definitely! I’m aiming for a 5K run next month. I want to improve my time from last year. It’s a fun challenge!,0.71
"Not yet, but I can't wait! I’m planning to make a fresh salsa. What’s your favorite dish with tomatoes?",Self-Efficacy,"Not yet, but I can't wait! I’m planning to make a fresh salsa. What’s your favorite dish with tomatoes?",0.7
It was hectic! But I managed to get through it. How about you? What have you been up to?,Self-Efficacy,It was hectic! But I managed to get through it. How about you? What have you been up to?,0.67
I can’t wait to get back to my training for the 5K! I also want to spend some time with family this weekend.,Self-Efficacy,I can’t wait to get back to my training for the 5K! I also want to spend some time with family this weekend.,0.67
It's thriving! The tomatoes are almost ready to pick! I might have more than I can use!,Self-Efficacy,It's thriving! The tomatoes are almost ready to pick! I might have more than I can use!,0.9
I’ve been good! Busy with work and family. Just finished my 5K last weekend and I did it in 32 minutes!,Social Connectedness,I’ve been good! Busy with work and family. Just finished my 5K last weekend and I did it in 32 minutes!,0.67
"Not yet, but planning to start in the next few weeks. I want to ensure I'm ready for the distance!",Autonomy,"Not yet, but planning to start in the next few weeks. I want to ensure I'm ready for the distance!",0.79
"I had my first kickboxing class today! I think it went pretty well! It felt empowering, and I believe I can get stronger with practice.",Self-Efficacy,"I had my first kickboxing class today! I think it went pretty well! It felt empowering, and I believe I can get stronger with practice.",0.83
I feel calmer and more focused. I think it’s really helping me manage my stress levels. I hope I can continue to grow this habit.,Self-Efficacy,I feel calmer and more focused. I think it’s really helping me manage my stress levels. I hope I can continue to grow this habit.,0.69
I think I’ll start by limiting my work hours and reserving that time for myself. Maybe I can use that time for more self-care or hobbies.,Self-Efficacy,I think I’ll start by limiting my work hours and reserving that time for myself. Maybe I can use that time for more self-care or hobbies.,0.69
"I’m thinking landscapes. I believe they remind me of tranquility, and I think I can pour my feelings into them.",Self-Efficacy,"I’m thinking landscapes. I believe they remind me of tranquility, and I think I can pour my feelings into them.",0.85
I’m planning a weekend trip to the coast next! I can’t wait to explore the beaches.,Self-Efficacy,I’m planning a weekend trip to the coast next! I can’t wait to explore the beaches.,0.67
